epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9520828127861023,0.9892292618751526,0.0010000000474974513,0.18676231801509857,0.9522129893302917,0.944393515586853,0.9108553528785706,0.9621127843856812,0.4179806411266327,0.9836099147796631,0.8225078582763672
1,0.9788644313812256,0.9973031878471375,0.0010000000474974513,0.10957665741443634,0.9780997037887573,0.9764307141304016,0.9875769019126892,0.997730016708374,0.08809645473957062,0.9905611872673035,0.9827190041542053
2,0.9841235280036926,0.9981992840766907,0.0010000000474974513,0.08862023800611496,0.984382688999176,0.9814431667327881,0.9855526685714722,0.9982041716575623,0.08020942658185959,0.9914515018463135,0.9774410724639893
3,0.9858699440956116,0.9986166954040527,0.0010000000474974513,0.07605620473623276,0.9857457280158997,0.9838533997535706,0.9897201657295227,0.9988494515419006,0.06517793238162994,0.9928779602050781,0.9850174784660339
4,0.9871400594711304,0.9986642599105835,0.0010000000474974513,0.06862470507621765,0.9875510931015015,0.9847705960273743,0.9912284016609192,0.9988596439361572,0.06044003739953041,0.9917235374450684,0.9894441366195679
5,0.9881918430328369,0.998869001865387,0.0010000000474974513,0.0608239620923996,0.9889357089996338,0.9856451153755188,0.9877356886863708,0.9983121156692505,0.06442805379629135,0.9927623867988586,0.9808461666107178
6,0.98848956823349,0.9988828301429749,0.0010000000474974513,0.05573844909667969,0.9885457754135132,0.9866902828216553,0.9898789525032043,0.9989237189292908,0.05015207454562187,0.9931342005729675,0.9851025938987732
7,0.9887971878051758,0.9989801049232483,0.0010000000474974513,0.052793532609939575,0.9895989298820496,0.9862850308418274,0.9871006011962891,0.9983335137367249,0.05624161288142204,0.9929224848747253,0.979313850402832
8,0.9898489713668823,0.9991132616996765,0.0010000000474974513,0.04833081364631653,0.990628182888031,0.9875221252441406,0.9899186491966248,0.9992496371269226,0.04620879143476486,0.9925430417060852,0.985783576965332
9,0.9899482131004333,0.9991466403007507,0.0010000000474974513,0.045709334313869476,0.9904413819313049,0.9879273772239685,0.9919825196266174,0.9993459582328796,0.04032355546951294,0.9946867823600769,0.9880820512771606
10,0.990414559841156,0.9991170763969421,0.0010000000474974513,0.043437447398900986,0.9909963607788086,0.9883753061294556,0.9910299777984619,0.999332070350647,0.040068283677101135,0.9958681464195251,0.9848471879959106
11,0.9908214211463928,0.9992123246192932,0.0010000000474974513,0.04080294072628021,0.9912772178649902,0.988972544670105,0.9925779104232788,0.9993847012519836,0.03666447848081589,0.9946089386940002,0.9894441366195679
12,0.9903748631477356,0.9992300271987915,0.0010000000474974513,0.04113638028502464,0.9903663396835327,0.9889298677444458,0.9897201657295227,0.9991627335548401,0.04113588482141495,0.9862028360366821,0.9918277263641357
13,0.9911389350891113,0.999305784702301,0.0010000000474974513,0.03899751603603363,0.9912201762199402,0.9897190928459167,0.9927763342857361,0.9992164373397827,0.035430051386356354,0.9941040873527527,0.9903805255889893
14,0.9915358424186707,0.9993072748184204,0.0010000000474974513,0.036489441990852356,0.992742121219635,0.9890365600585938,0.992498517036438,0.9992868304252625,0.0339716300368309,0.9963071346282959,0.9875712990760803
15,0.9913671612739563,0.999329686164856,0.0010000000474974513,0.03717281296849251,0.9915393590927124,0.9898897409439087,0.9922206997871399,0.9989423155784607,0.035849422216415405,0.9957936406135559,0.9874861836433411
16,0.9917938709259033,0.9993203282356262,0.0010000000474974513,0.03597394749522209,0.9919461607933044,0.9904016256332397,0.9923000335693359,0.9992127418518066,0.03533957153558731,0.9938445687294006,0.9896143674850464
17,0.9917541742324829,0.9993489980697632,0.0010000000474974513,0.0351700522005558,0.9920505881309509,0.990209698677063,0.9919031262397766,0.9992007613182068,0.03342375159263611,0.9962170124053955,0.9863795042037964
18,0.9920915365219116,0.999346137046814,0.0010000000474974513,0.034027256071567535,0.9926033616065979,0.9903802871704102,0.9915062785148621,0.9992830157279968,0.03527289256453514,0.9965555667877197,0.9851877093315125
